,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
3,p-sgd,quadratic,mse,0.1,1024,1,12,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,1456,6.471809123177589e-08,6.867774595933598e-09,3.3913233280181885
4,p-sgd,quadratic,mse,0.1,1024,1,12,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,1559,7.45250237817648e-08,8.708619553882752e-09,4.997482299804688
5,p-sgd,quadratic,mse,0.1,1024,1,12,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,1604,3.768157539083303e-08,5.308236171607127e-09,5.112689018249512
6,p-sgd,quadratic,mse,0.1,1024,1,12,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,998,3.7652474718344017e-08,7.1900864521505054e-09,3.123417615890503
7,p-sgd,quadratic,mse,0.1,1024,1,12,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,1863,6.372746340509316e-08,7.393477533904995e-09,4.6391143798828125
8,p-sgd,quadratic,mse,0.1,1024,1,12,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,1416,5.9341123027757526e-08,8.719199732591202e-09,2.8330326080322266
9,p-sgd,quadratic,mse,0.1,1024,1,12,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,1789,6.236059155481952e-08,6.287613436079592e-09,6.173548698425293
0,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,2229,0.5399277433753014,0.003882282006088644,5.8174495697021475
1,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,6896,0.2615098087117076,0.0019800910085905343,12.62789821624756
2,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,5780,0.26970468647778034,0.0020564204751281068,8.789875984191895
3,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,7158,0.20451281778514385,0.001647665791097097,11.655922889709473
4,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,3718,0.0951165109872818,0.0007560670783277602,9.208961486816406
