,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
0,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,48,1190,21.545712143182755,100.0268406867981
1,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,49,1190,19.16411505639553,69.21056365966797
2,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,50,100,0.0018946657291962765,0.008941190666519105
3,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,51,310,0.00427751311508473,0.023286735144210983
4,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,52,1190,22.937814474105835,155.1334271430969
5,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,53,1190,27.26800644397736,123.25192165374756
6,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,54,1190,23.75919261574745,120.15483152866364
7,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,55,1190,23.78985333442688,88.90388441085815
8,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,56,1190,19.85165500640869,80.71568393707275
9,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,57,1190,22.450655907392502,117.81949090957642
10,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,58,1190,22.086337804794308,134.83342170715332
11,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,59,1190,25.001161009073254,84.05082368850708
12,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,60,1190,20.993781954050068,81.88792085647583
13,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,61,1190,23.9595887362957,98.52531325817108
14,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,62,1190,24.27245593070984,73.9423715621233
15,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,63,1190,21.08852463960648,81.22101831436156
16,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,64,170,0.001983340633159969,0.008097938014543615
17,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,65,1190,20.83854314684868,104.63538765907288
18,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,66,1190,20.05609118938446,79.42765760421753
19,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,67,1190,24.4895698428154,111.43500137329102
20,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,68,1190,26.01762878894806,134.63370323181152
21,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,69,1190,20.78385731577873,123.5218381881714
22,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,70,1190,26.52656853199005,82.99120283126831
23,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,71,1190,20.496339440345768,98.63276147842407
24,sgd,4.0,256,1,32,0.002,0.9,False,150,0,100,47,25,72,1190,22.68144974112511,154.64830684661862
0,gd,4.0,256,1,1024,0.002,0.9,False,5000,0,100,22,25,23,40000,681.8197631835938,438.6612548828125
1,gd,4.0,256,1,1024,0.002,0.9,False,5000,0,100,22,25,24,40000,452.0973815917969,269.2545166015625
2,gd,4.0,256,1,1024,0.002,0.9,False,5000,0,100,22,25,25,40000,633.9322509765625,361.2007446289063
3,gd,4.0,256,1,1024,0.002,0.9,False,5000,0,100,22,25,26,40000,644.43798828125,501.3165588378906
