,activation,batchsize,early_stopping_epochs,epoch,loss,loss_eps,lr,momentum,nepochs,nesterov,nfeatures,nhidden,nruns,ntest,optim,project_on_sphere,samplecomplexity,seed,startseed,symmetric_door_k,tau,test error,train error,train loss,weightdecay
7,quadratic,3072,-1.0,564,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,p-sgd,True,6.0,30,22,0.6744899999999999,2.0,0.000869269366376102,0.0002552118894527666,0.7794530987739563,0
8,quadratic,3072,-1.0,1282,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,p-sgd,True,6.0,31,22,0.6744899999999999,2.0,0.0007858149474486709,0.0001303201715927571,0.4042590856552124,0
9,quadratic,3072,-1.0,1776,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,p-sgd,True,6.0,32,22,0.6744899999999999,2.0,0.0009441234869882463,0.00026277521101292223,0.8143403828144073,0
0,quadratic,1024,,108,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,33,32,0.6744899999999999,1.0,0.0008393932366743684,0.000155653204274131,0.1612204723060131,0
1,quadratic,1024,,64,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,34,32,0.6744899999999999,1.0,0.0009280979866161944,0.0001306390367972199,0.13755424693226814,0
2,quadratic,1024,,89,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,35,32,0.6744899999999999,1.0,0.0009661891963332893,0.00019049008369620424,0.2004870753735304,0
3,quadratic,1024,,60,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,36,32,0.6744899999999999,1.0,0.0008578131091780961,0.0002417026462353533,0.2490760497748852,0
4,quadratic,1024,,100,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,37,32,0.6744899999999999,1.0,0.0009105709032155572,0.0001799330930225551,0.18256140872836116,0
5,quadratic,1024,,103,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,38,32,0.6744899999999999,1.0,0.0009110405226238072,0.00034137630063924007,0.34520528838038445,0
6,quadratic,1024,,88,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,39,32,0.6744899999999999,1.0,0.0009329022723250092,0.00013757904343947305,0.14325194898992774,0
7,quadratic,1024,,205,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,40,32,0.6744899999999999,1.0,0.0009426285396330061,0.00013881081395084038,0.1344193359836936,0
8,quadratic,1024,,149,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,41,32,0.6744899999999999,1.0,0.0008683912456035613,0.00025605546034057625,0.2721653189510107,0
9,quadratic,1024,,139,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,8.0,42,32,0.6744899999999999,1.0,0.0009876640979200602,0.00022419435117626563,0.2249720562249422,0
0,quadratic,3072,-1.0,30,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,23,22,0.6744899999999999,2.0,0.0008749125991016626,0.00047144189011305565,1.4482694864273071,0
1,quadratic,3072,-1.0,47,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,24,22,0.6744899999999999,2.0,0.0007630569743923843,0.0004991081514162944,1.5332602262496948,0
2,quadratic,3072,-1.0,45,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,25,22,0.6744899999999999,2.0,0.0009390117484144868,0.0005361944495234637,1.6471893191337583,0
3,quadratic,3072,-1.0,30,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,26,22,0.6744899999999999,2.0,0.0008209104998968543,0.0005706133379135281,1.7529242038726809,0
4,quadratic,3072,-1.0,37,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,27,22,0.6744899999999999,2.0,0.0006677479250356555,0.000447412152425386,1.374450147151947,0
5,quadratic,3072,-1.0,32,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,28,22,0.6744899999999999,2.0,0.0006352966884151101,0.0004515207110671327,1.3870716094970703,0
6,quadratic,3072,-1.0,32,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,29,22,0.6744899999999999,2.0,0.0008299609180539846,0.0005355159810278566,1.6451051235198977,0
7,quadratic,3072,-1.0,33,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,30,22,0.6744899999999999,2.0,0.0009750269819051027,0.0005961990100331603,1.831523299217224,0
8,quadratic,3072,-1.0,100014,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,31,22,0.6744899999999999,2.0,2.811631441116333,1.1371996998786926,3493.4774169921875,0
9,quadratic,3072,-1.0,998,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,sgd,True,6.0,32,22,0.6744899999999999,2.0,0.0009033794631250203,0.00077911137486808,2.3934301137924194,0
0,quadratic,2560,,10674,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,23,22,0.6744899999999999,1.0,6.720828056335449,0.3687302768230438,943.9495239257812,0
1,quadratic,2560,,7230,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,24,22,0.6744899999999999,1.0,8.813899040222168,0.36279937624931335,928.7664184570312,0
2,quadratic,2560,,5587,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,25,22,0.6744899999999999,1.0,6.806556224822997,0.3955295979976654,1012.5557861328124,0
3,quadratic,2560,,4171,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,26,22,0.6744899999999999,1.0,4.0278048515319815,0.342881977558136,877.77783203125,0
4,quadratic,2560,,9380,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,27,22,0.6744899999999999,1.0,8.587518692016603,0.3916189670562744,1002.5445556640624,0
5,quadratic,2560,,8358,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,28,22,0.6744899999999999,1.0,6.643728733062744,0.3885793685913086,994.76318359375,0
6,quadratic,2560,,4288,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,29,22,0.6744899999999999,1.0,6.524342060089111,0.4101293087005615,1049.9310302734377,0
7,quadratic,2560,,7076,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,30,22,0.6744899999999999,1.0,12.483017921447756,0.44040316343307495,1127.43212890625,0
8,quadratic,2560,,4759,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,31,22,0.6744899999999999,1.0,6.624503612518311,0.4023953974246979,1030.1322021484377,0
9,quadratic,2560,,4625,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.5,32,22,0.6744899999999999,1.0,7.107182025909424,0.3823071122169495,978.7061767578124,0
0,quadratic,192,,7350,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,33,32,0.6744899999999999,1.0,9.458074569702148,0.06688025873154403,12.841009616851807,0
1,quadratic,192,,4541,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,34,32,0.6744899999999999,1.0,12.11145305633545,0.07912675943225622,15.19233787059784,0
2,quadratic,192,,3216,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,35,32,0.6744899999999999,1.0,11.628443717956545,0.07074524136260152,13.583086371421814,0
3,quadratic,192,,4177,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,36,32,0.6744899999999999,1.0,13.464500427246096,0.05724499095231295,10.99103832244873,0
4,quadratic,192,,7352,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,37,32,0.6744899999999999,1.0,7.667501449584961,0.06299879960715771,12.09576952457428,0
5,quadratic,192,,10326,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,38,32,0.6744899999999999,1.0,8.742016792297362,0.072078469209373,13.83906602859497,0
6,quadratic,192,,3841,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,39,32,0.6744899999999999,1.0,10.959249496459961,0.06196312280371785,11.89691972732544,0
7,quadratic,192,,3011,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,40,32,0.6744899999999999,1.0,13.136310577392578,0.05996615020558237,11.513500809669495,0
8,quadratic,192,,3542,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,41,32,0.6744899999999999,1.0,13.319314956665039,0.05939441826194525,11.403728485107422,0
9,quadratic,192,,4458,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,1.5,42,32,0.6744899999999999,1.0,15.51097297668457,0.07074457127600907,13.582957744598387,0
0,quadratic,1024,,17,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,23,22,0.6744899999999999,1.0,0.0006199937197379768,0.0006925097550265491,0.7091299891471863,0
1,quadratic,1024,,23,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,24,22,0.6744899999999999,1.0,0.0004008122778031975,0.0004892107608611695,0.5009518191218376,0
2,quadratic,1024,,20,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,25,22,0.6744899999999999,1.0,0.0008342858636751771,0.0011458000080892814,1.1732992082834244,0
3,quadratic,1024,,71,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,26,22,0.6744899999999999,1.0,0.0006913333199918269,0.0033157412690343327,3.395319059491157,0
