,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
2,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,248,4.315734465916951,0.0,1.0800000429153442
3,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,280,4.331682549582587,0.0,1.0199999809265137
4,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,256,4.4501454565260135,0.0,1.2000000476837158
5,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,203,4.764954540464614,0.0,1.0
6,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,298,4.166892210642497,0.0,1.0399999618530271
7,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,337,3.7190486590067535,0.0,1.0800000429153442
8,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,333,3.79434527291192,0.0,1.0
9,sgd,symmetric-door,logloss,0.1,1024,1,12,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,330,4.013539552688599,0.0,0.9800000190734864
0,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,2802,289.5490646362305,0.477421049028635,0.9200000166893004
1,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,3331,263.96660614013666,0.4220532812178135,0.959999978542328
2,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,3394,263.9110450744629,0.3892938978970051,0.8799999952316284
3,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,3163,251.6861438751221,0.3721686080098152,0.7599999904632568
4,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,2813,248.5182590484619,0.3639189712703228,0.8799999952316284
5,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,2631,250.86686515808103,0.402758676558733,1.0
6,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,3782,275.94321060180664,0.4501483514904976,0.8999999761581421
7,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,2257,289.89377212524414,0.4331587888300419,0.9200000166893004
8,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,3746,269.4740829467773,0.4069891609251499,0.9800000190734864
9,p-sgd,symmetric-door,logloss,4.0,1024,2,512,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,3826,238.58341217041016,0.3428836241364479,0.8799999952316284
0,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,2460,1062.441665649414,0.3982797265052795,0.4600000083446503
1,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,1680,1104.305679321289,0.4067341312766075,0.5199999809265137
2,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,2715,1161.1627197265625,0.3995392099022865,0.41999998688697815
3,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,2169,1109.6980285644534,0.40526314452290535,0.479999989271164
4,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,1180,1086.5290832519534,0.39817995205521584,0.41999998688697815
