,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
0,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3103.809936523437,1.0034406781196594,1.0199999809265137,100
1,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3111.80810546875,0.9928688406944276,1.0199999809265137,100
2,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3163.7340087890625,0.997105360031128,1.0199999809265137,100
3,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3083.578491210937,1.0106266736984253,1.0199999809265137,100
4,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3164.8699951171875,1.0031824707984924,1.0199999809265137,100
5,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3088.507080078125,1.0072307586669922,1.0199999809265137,100
6,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3068.257568359375,0.986521065235138,1.0199999809265137,100
7,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3123.0574951171875,1.015381097793579,1.0199999809265137,100
8,p-sgd,symmetric-door,logloss,10.0,1024,2,0.01,0.0,False,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,3111.6798095703125,1.0024485588073728,1.0199999809265137,100
0,sgd,symmetric-door,logloss,10.0,1024,2,0.002,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,2994.124389648437,0.12832031026482582,0.18000000715255735,100
0,sgd,symmetric-door,mse,10.0,1024,2,0.002,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,5000,500,1561.3805541992188,0.10664062574505806,0.18000000715255735,100
0,sgd,symmetric-door,logloss,10.0,1024,1,0.005,0.0,False,23,22,linear,symmetric-door-absolute,1e-08,2.0,0.6744899999999999,True,-1,0,5120,16002,1600,2994.2891845703125,0.12812499701976776,0.1599999964237213,100
0,sgd,symmetric-door,logloss,10.0,1024,2,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,8001,800,2994.2762451171875,0.12949218973517418,0.20000000298023224,100
0,p-sgd,symmetric-door,logloss,10.0,1024,5,0.005,0.9,True,23,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3206.5572509765625,0.5374224483966827,0.7599999904632568,100
1,p-sgd,symmetric-door,logloss,10.0,1024,5,0.005,0.9,True,24,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3229.727294921875,0.5517644286155701,0.8399999737739563,100
2,p-sgd,symmetric-door,logloss,10.0,1024,5,0.005,0.9,True,25,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3238.822021484375,0.5064312219619751,0.8199999928474426,100
3,p-sgd,symmetric-door,logloss,10.0,1024,5,0.005,0.9,True,26,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3274.56884765625,0.5515038669109344,0.8199999928474426,100
0,gd,symmetric-door,logloss,20.0,1024,10,0.01,0.0,False,23,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,20480,20002,2000,13641.9677734375,0.7666015625,0.8999999761581421,100
1,gd,symmetric-door,logloss,20.0,1024,10,0.01,0.0,False,24,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,20480,20002,2000,13644.0546875,0.7713867425918579,0.9399999976158142,100
2,gd,symmetric-door,logloss,20.0,1024,10,0.01,0.0,False,25,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,20480,20002,2000,13640.6572265625,0.7686523199081421,0.9399999976158142,100
0,sgd,symmetric-door,logloss,20.0,1024,2,0.01,0.0,False,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,20002,2000,6024.175537109375,0.09775390475988388,0.07999999821186066,100
1,sgd,symmetric-door,logloss,20.0,1024,2,0.01,0.0,False,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,20002,2000,6024.126708984375,0.09824218973517418,0.07999999821186066,100
2,sgd,symmetric-door,logloss,20.0,1024,2,0.01,0.0,False,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,20002,2000,6024.09326171875,0.09814453125,0.07999999821186066,100
0,p-sgd,symmetric-door,logloss,10.0,1024,2,0.005,0.9,True,23,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3179.116577148437,0.4614928662776947,0.7400000095367432,100
1,p-sgd,symmetric-door,logloss,10.0,1024,2,0.005,0.9,True,24,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3196.56494140625,0.4619607627391815,0.699999988079071,100
2,p-sgd,symmetric-door,logloss,10.0,1024,2,0.005,0.9,True,25,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3217.5333251953125,0.4592758715152741,0.7799999713897705,100
3,p-sgd,symmetric-door,logloss,10.0,1024,2,0.005,0.9,True,26,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3239.5604248046875,0.4629075229167938,0.7200000286102295,100
0,p-sgd,symmetric-door,logloss,10.0,1024,1,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,2937.764038085937,0.1396312117576599,0.3199999928474426,100
1,p-sgd,symmetric-door,logloss,10.0,1024,1,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,2954.1036376953125,0.13450957834720612,0.2199999988079071,100
2,p-sgd,symmetric-door,logloss,10.0,1024,1,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,2969.63037109375,0.14185529947280884,0.3799999952316284,100
3,p-sgd,symmetric-door,logloss,10.0,1024,1,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,2993.42578125,0.1367637813091278,0.3799999952316284,100
0,sgd,symmetric-door,logloss,10.0,1024,20,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,4000,400,3025.896484375,0.09707031399011612,0.18000000715255735,100
0,sgd,symmetric-door,logloss,10.0,1024,1,0.002,0.0,False,23,22,linear,symmetric-door-absolute,1e-08,2.0,0.6744899999999999,True,-1,0,5120,4000,400,3102.9345703125,0.3765625059604645,0.5199999809265137,100
0,sgd,symmetric-door,mse,10.0,1024,2,0.02,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,1564.659423828125,0.10957031324505806,0.18000000715255735,100
0,sgd,symmetric-door,logloss,10.0,1024,2,0.002,0.0,False,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,4000,400,3290.028686523437,0.5464843511581421,0.8000000119209291,100
0,p-sgd,symmetric-door,logloss,10.0,1024,20,0.005,0.9,True,23,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3307.182861328125,0.6825755536556244,1.0399999618530271,100
1,p-sgd,symmetric-door,logloss,10.0,1024,20,0.005,0.9,True,24,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3315.087890625,0.6556860506534576,0.9200000166893004,100
2,p-sgd,symmetric-door,logloss,10.0,1024,20,0.005,0.9,True,25,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3336.0625,0.6595874726772308,0.9399999976158142,100
3,p-sgd,symmetric-door,logloss,10.0,1024,20,0.005,0.9,True,26,22,relu,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,5120,2000,200,3368.871459960937,0.6741465628147125,0.9200000166893004,100
