,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
8,gd,quadratic,mse,6.0,1024,2,0.005,0.0,False,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,2302,2000,1.0318553447723389,0.00016794521070551127,0.0009993896819651127,100
9,gd,quadratic,mse,6.0,1024,2,0.005,0.0,False,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,2068,2000,1.0494579076766968,0.00017081020632758737,0.0009991630213335156,100
0,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3434,2000,0.24646811932325366,7.892002395237796e-05,0.000998814357444644,100
1,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3928,2000,0.15591170638799667,5.0424188884790055e-05,0.0009952504187822342,100
2,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,2700,2000,0.23678936809301376,7.778890721965581e-05,0.0009978222660720348,100
3,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3064,2000,0.19514509290456766,6.436191688408145e-05,0.0009993506828323009,100
4,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3686,2000,0.23312704265117645,7.597431977046654e-05,0.000997542985714972,100
5,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3472,2000,0.20198988169431686,6.401207065209746e-05,0.0009988361271098256,100
6,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3466,2000,0.2075762674212456,6.778000533813609e-05,0.0009979702299460767,100
7,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,4322,2000,0.17447714507579806,5.644670090987348e-05,0.0009992980631068347,100
