,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weightdecay,epoch,train loss,train error,test error
6,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,484.4693756103516,0.4446614533662796,1.1399999856948853
7,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,479.1878204345703,0.435546875,0.8600000143051147
8,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,498.1681518554688,0.4381510466337204,0.9800000190734864
9,sgd,symmetric-door,square,3.0,1024,1,1536,0.005,0.9,True,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,491.07958984375,0.447265625,0.8799999952316284
0,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2443.0601806640625,0.12663488090038302,0.30000001192092896
1,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2468.045288085937,0.11526817455887794,0.36000001430511475
2,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2491.170166015625,0.11925920099020006,0.30000001192092896
3,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2433.7037353515625,0.12692416459321976,0.2199999988079071
4,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2503.21337890625,0.11900856718420982,0.30000001192092896
5,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2462.0113525390625,0.1279584988951683,0.239999994635582
