,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
7,p-sgd,symmetric-door,logloss,8.0,1024,10,0.005,0.0,False,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,4096,10001,1000,2538.207275390625,0.11497064679861067,0.7599999904632568,100
8,p-sgd,symmetric-door,logloss,8.0,1024,10,0.005,0.0,False,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,4096,10001,1000,2515.3355712890625,0.0824817530810833,0.4600000083446503,100
9,p-sgd,symmetric-door,logloss,8.0,1024,10,0.005,0.0,False,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,4096,10001,1000,2489.093994140625,0.10442749410867692,0.7599999904632568,100
0,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,583.0110778808594,0.009765625,0.9800000190734864,100
1,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,583.5966186523438,0.0126953125,0.8600000143051147,100
2,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,584.3162841796875,0.0185546875,0.9399999976158142,100
3,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,582.5675048828125,0.0166015625,1.0399999618530271,100
4,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,583.9041137695312,0.017578125,1.1599999666213991,100
5,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,583.9486694335938,0.021484375,1.100000023841858,100
6,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,582.5005187988281,0.0146484375,1.0,100
7,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,583.2326354980469,0.0205078125,0.8999999761581421,100
8,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,581.597412109375,0.0205078125,1.0199999809265137,100
9,sgd,symmetric-door,logloss,2.0,1024,5,0.005,0.9,True,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1024,10001,1000,582.88720703125,0.0234375,0.8600000143051147,100
0,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,909.8343505859376,0.1979166641831398,0.8799999952316284,100
1,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,910.2659606933594,0.1842447891831398,1.0599999427795408,100
2,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,914.4556884765624,0.2096354141831398,0.8399999737739563,100
3,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,910.221923828125,0.201171875,0.8999999761581421,100
4,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,911.1229858398438,0.2141927108168602,1.0800000429153442,100
5,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,913.4122924804688,0.2194010466337204,0.959999978542328,100
6,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,913.68505859375,0.1868489608168602,0.8199999928474426,100
7,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,915.326416015625,0.2135416641831398,1.1399999856948853,100
8,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,908.7445068359376,0.1875,0.9800000190734864,100
9,sgd,symmetric-door,logloss,3.0,1024,2,0.005,0.9,True,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,1536,10001,1000,910.7119140625,0.2057291641831398,0.8999999761581421,100
0,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1572.0958862304688,0.13302405178546906,0.9200000166893004,100
1,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1513.7220458984375,0.10486550256609917,0.6800000071525574,100
2,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1527.9697875976562,0.14018353074789047,1.0199999809265137,100
3,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1542.1239013671875,0.12926093488931656,0.9399999976158142,100
