,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
9,gd,4.0,1024,1,4096,0.001,0.0,False,8000,0,100,32,10,42,13600,3207.4033203125,337.9673156738281
0,sgd,3.0,1024,1,32,0.002,0.9,False,400,0,100,32,5,33,3900,16.001741151014965,157.52224397659305
1,sgd,3.0,1024,1,32,0.002,0.9,False,400,0,100,32,5,34,3900,16.178471624851227,191.2007064819336
2,sgd,3.0,1024,1,32,0.002,0.9,False,400,0,100,32,5,35,3900,15.462146083513893,159.00611591339108
0,gd,3.5,1024,2,3584,0.01,0.0,False,10000,0,100,27,5,28,23400,0.037870310246944434,0.09799836575984956
1,gd,3.5,1024,2,3584,0.01,0.0,False,10000,0,100,27,5,29,6000,0.07554993033409119,0.09829815477132796
2,gd,3.5,1024,2,3584,0.01,0.0,False,10000,0,100,27,5,30,9000,0.0611489862203598,0.09748005867004396
3,gd,3.5,1024,2,3584,0.01,0.0,False,10000,0,100,27,5,31,5500,0.13273262977600098,0.0993356853723526
4,gd,3.5,1024,2,3584,0.01,0.0,False,10000,0,100,27,5,32,13000,0.05448837578296661,0.09838469326496124
0,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,33,4400,1.8416316509246824,0.15200930833816528
1,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,34,4200,2.354376077651977,0.47057044506073
2,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,35,3700,2.1286771297454834,0.3097887933254242
3,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,36,4400,1.8529702425003047,0.27005356550216675
4,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,37,4700,1.862083911895752,0.3171525299549103
5,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,38,3900,2.0309829711914062,0.2532537281513214
6,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,39,6300,2.397646427154541,0.5284398794174194
7,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,40,4000,2.008511781692505,0.479019820690155
