,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,tau,seed,epoch,train error,test error
3,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,26,20002,2.590094544530075e-05,0.0019457623129710555
4,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,27,20002,2.971100292370465e-05,0.0030794781632721424
5,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,28,20002,3.138955509029984e-05,0.002372965915128589
6,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,29,20002,2.7172867987701466e-05,0.0027326976414769892
7,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,30,20002,2.6975300897902343e-05,0.0019044885411858559
8,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,31,20002,2.3876581508375242e-05,0.0020896084606647487
9,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,32,20002,2.5944116543996646e-05,0.0019451667321845891
0,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,33,14667,1.3053433264076375e-05,0.0009962962940335274
1,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,34,13486,1.66684927762617e-05,0.0009924906771630047
2,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,35,16668,1.1520538009790469e-05,0.0009997751330956817
3,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,36,17042,1.3033181005539516e-05,0.000998866744339466
4,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,37,13087,1.4383440031906506e-05,0.0009952373802661896
5,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,38,13741,1.250005902875273e-05,0.0009969886159524322
6,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,39,13123,1.4335037860746525e-05,0.0009945450583472848
7,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,40,20002,8.850978588270664e-06,0.0011583404848352075
8,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,41,14337,1.3545608169351908e-05,0.0009958345908671618
9,p-sgd,4.0,1024,5,128,0.002,0.9,False,2000,0,100,32,10,1.0,42,16035,1.0006328807321553e-05,0.0009952393593266606
0,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,23,1547,0.00019227470814560846,0.0009436029358766973
1,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,24,1631,4.3404927547877975e-05,0.0009924537735059855
2,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,25,3354,8.068646320680273e-05,0.0009610906708985568
3,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,26,1085,4.480302209231013e-05,0.000971362751442939
4,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,27,910,4.520151916646379e-05,0.0009755486971698699
5,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,28,1439,4.3515689867490444e-05,0.0009447920601814984
6,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,29,2094,5.743141052031812e-05,0.0009705203701741992
7,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,30,1346,4.297891071776879e-05,0.0009861883008852599
8,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,31,1173,5.208285248651615e-05,0.0009886365151032805
9,p-sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,22,10,2.0,32,1451,3.739609906006081e-05,0.0009368239552713932
0,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,23,20002,,
1,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,24,20002,,
2,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,25,20002,,
3,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,26,1064,9.475379902141868e-05,0.0009874101961031556
4,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,27,20002,,
5,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,28,20002,,
6,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,29,20002,,
7,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,30,20002,,
8,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,31,20002,,
9,p-sgd,2.5,1024,1,128,0.002,0.9,False,2000,0,100,22,10,0.5,32,1249,0.0001698389467492234,0.0009180496563203633
0,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,33,20002,0.03226158907637,4.960786819458008
1,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,34,20002,0.02633354915305972,3.757556438446045
2,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,35,20002,0.03475171411409974,3.2125153541564937
3,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,36,20002,0.033846329990774394,5.992025375366211
4,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,37,20002,0.028414830658584838,3.4829926490783687
5,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,38,20002,0.023522184696048498,2.4396841526031494
6,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,39,20002,0.028657061140984295,5.233092784881592
7,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,40,20002,0.02864730274304748,4.1073622703552255
8,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,41,20002,0.03509105369448662,4.194732666015625
9,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,32,10,1.0,42,20002,0.03047593031078577,3.9350981712341313
0,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,23,20002,0.7573688253760338,3.9996526241302486
1,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,24,20002,0.7710627876222134,5.370138168334961
2,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,25,20002,0.7595811132341623,7.261138439178468
3,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,26,20002,0.7238194905221462,3.5888824462890625
4,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,27,20002,0.8009506333619356,4.4143385887146
5,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,28,20002,0.8418635856360197,6.590438365936278
6,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,29,20002,0.7578361798077822,4.250394821166991
7,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,30,20002,0.8214492201805115,5.196843147277832
8,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,31,20002,0.6674387287348509,1.7596397399902344
9,sgd,4.0,1024,1,128,0.01,0.0,False,2000,0,100,22,10,1.0,32,20002,0.7438869588077068,3.9025933742523193
0,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,33,20002,1.0000337662556072e-05,0.002375273732468486
1,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,34,20002,0.05151787198459109,6.137225151062013
2,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,35,20002,0.051910932563866176,5.849118232727051
3,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,36,15953,6.6213963899978516e-06,0.0009950584499165416
4,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,37,20002,0.028824511915445324,3.2625026702880864
5,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,38,20002,7.1769885228908006e-06,0.001171869691461325
6,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,39,16461,1.413610705943332e-05,0.0009903459576889873
7,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,40,20002,7.1685946826013e-06,0.0011666321661323311
8,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,41,20002,1.2036317457386756e-05,0.0026342647615820174
9,p-sgd,3.0,1024,2,128,0.002,0.9,False,2000,0,100,32,10,2.0,42,20002,0.04135373591755828,5.368048667907715
0,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,23,2503,3.670774172600691e-05,0.000994452740997076
1,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,24,4119,2.585639335198461e-05,0.0009991117985919118
2,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,25,3218,2.582272996473226e-05,0.0009838148253038526
3,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,26,20002,0.16958630856658732,2.753960609436035
4,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,27,3274,2.2303433654867278e-05,0.0009874922689050436
5,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,28,2852,4.756839176219988e-05,0.0009915460832417011
6,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,29,2867,2.666254334014541e-05,0.0009993069106712935
7,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,30,2519,4.783130745116588e-05,0.000974546594079584
8,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,31,3587,2.1093046078541586e-05,0.0009925744961947203
9,p-sgd,3.5,1024,2,128,0.002,0.9,False,2000,0,100,22,10,0.5,32,3765,2.440177468088223e-05,0.00099966989364475
0,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,33,20002,0.4458695277571678,5.97786808013916
1,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,34,20002,0.4620662232240041,6.644715785980225
2,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,35,20002,0.4731411747634411,5.019528388977051
3,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,36,20002,0.44261668374141055,8.133872985839844
4,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,37,20002,0.4764022901654244,4.8850836753845215
5,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,38,20002,0.43906524777412415,5.252180099487305
6,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,39,20002,0.4425600779553254,7.888190746307372
7,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,40,20002,0.43213875840107596,7.1928977966308585
8,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,41,20002,0.4684803411364555,6.198869228363037
9,sgd,3.0,1024,1,128,0.002,0.9,False,2000,0,100,32,10,1.0,42,20002,0.4682178484896819,6.8377838134765625
0,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,23,2898,3.4808844532108196e-05,0.0009941403986886144
1,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,24,6895,2.4848175200986592e-05,0.000995235051959753
2,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,25,3920,4.894341020644788e-05,0.000995294889435172
3,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,26,6334,3.621597539904542e-05,0.0009974284330382943
4,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,27,3921,2.3586078270909642e-05,0.0009964086348190904
5,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,28,6645,4.375887340302143e-05,0.0009943963959813118
6,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,29,3634,2.751419071955752e-05,0.0009977282024919989
7,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,30,8666,3.419488007239124e-05,0.0009924561018124225
8,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,31,3210,3.7230687610190216e-05,0.0009982121409848332
9,p-sgd,4.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,32,3614,3.2297724544605444e-05,0.000996326911263168
0,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,33,20002,0.24207998290658,3.6738295555114746
1,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,34,20002,0.18784246295690535,4.692204475402832
2,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,35,20002,0.2395786203444004,3.643186330795288
3,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,36,20002,0.193442140519619,6.440908432006836
4,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,37,20002,0.2322248317301273,5.8626976013183585
5,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,38,20002,0.19505025818943975,3.4954042434692383
6,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,39,20002,0.21134245395660398,6.3802266120910645
7,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,40,20002,0.2152654767036438,3.313350915908813
8,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,41,20002,0.2295306406915188,3.5154235363006587
9,p-sgd,2.5,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,42,20002,0.2420116826891899,6.29000997543335
0,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,23,20002,0.005942351766861975,6.20260763168335
1,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,24,20002,0.005649631581036374,4.429386615753174
2,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,25,20002,0.005568417138420045,3.073272705078125
3,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,26,20002,0.006630883290199563,5.120355129241943
4,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,27,20002,0.00643094428232871,5.439197540283203
5,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,28,20002,0.005484562221681699,4.970639228820801
6,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,29,20002,0.0070466705365106455,4.736846446990967
7,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,30,20002,0.006717558862874284,5.179914951324463
8,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,31,20002,0.0067029367201030254,3.97074818611145
9,p-sgd,2.0,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,32,20002,0.006105087464675307,4.944348335266113
0,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,23,20002,2.2196503063501692e-05,0.005247673485428096
1,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,24,20002,2.150489932059177e-05,0.006724127568304539
2,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,25,20002,2.0442685776548126e-05,0.005637560971081257
3,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,26,20002,2.151882738741863e-05,0.004052641335874796
4,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,27,20002,1.69167764982246e-05,0.003867938183248043
5,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,28,20002,2.592558264171073e-05,0.006008278578519821
6,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,29,20002,1.926408211667357e-05,0.004280483350157739
7,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,30,20002,2.264542328183389e-05,0.003982663154602051
8,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,31,20002,2.5837025987129888e-05,0.006303227040916681
9,p-sgd,3.5,1024,5,128,0.002,0.9,False,2000,0,100,22,10,1.0,32,20002,2.1457508734913847e-05,0.006893450394272804
0,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,23,20002,0.00030082076264079663,0.0967816412448883
1,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,24,20002,0.025828080344945197,4.94951057434082
2,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,25,20002,0.039051654189825064,4.293147087097168
3,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,26,20002,6.28276200586697e-05,0.023492125794291496
4,p-sgd,2.5,1024,2,128,0.01,0.0,False,2000,0,100,22,10,1.0,27,20002,0.038742173649370666,3.206233501434326
